file_path,parent_folder_task,file_task,risk_rating,priority
src/elspeth/core/landscape/__init__.py,elspeth-3f062fca72,elspeth-b5d7e44253,3,P2
src/elspeth/core/landscape/_database_ops.py,elspeth-3f062fca72,elspeth-ab6fe67879,5,P1
src/elspeth/core/landscape/_helpers.py,elspeth-3f062fca72,elspeth-47f99a78a1,5,P1
src/elspeth/core/landscape/auth_audit_repository.py,elspeth-3f062fca72,elspeth-0ff3fe9aad,5,P1
src/elspeth/core/landscape/data_flow_repository.py,elspeth-3f062fca72,elspeth-399b0e874c,5,P1
src/elspeth/core/landscape/database.py,elspeth-3f062fca72,elspeth-46e9f93145,5,P1
src/elspeth/core/landscape/errors.py,elspeth-3f062fca72,elspeth-44c71315b4,5,P1
src/elspeth/core/landscape/execution_repository.py,elspeth-3f062fca72,elspeth-169ee1474d,5,P1
src/elspeth/core/landscape/exporter.py,elspeth-3f062fca72,elspeth-76c5872c70,5,P1
src/elspeth/core/landscape/factory.py,elspeth-3f062fca72,elspeth-57b520343b,5,P1
src/elspeth/core/landscape/formatters.py,elspeth-3f062fca72,elspeth-8920a57c01,5,P1
src/elspeth/core/landscape/journal.py,elspeth-3f062fca72,elspeth-b419cdc5d7,5,P1
src/elspeth/core/landscape/lineage.py,elspeth-3f062fca72,elspeth-666a021185,5,P1
src/elspeth/core/landscape/model_loaders.py,elspeth-3f062fca72,elspeth-2d5d118092,5,P1
src/elspeth/core/landscape/query_repository.py,elspeth-3f062fca72,elspeth-49ce63c8b5,5,P1
src/elspeth/core/landscape/reproducibility.py,elspeth-3f062fca72,elspeth-e03e0fabbb,5,P1
src/elspeth/core/landscape/row_data.py,elspeth-3f062fca72,elspeth-c081e0fb8d,5,P1
src/elspeth/core/landscape/run_lifecycle_repository.py,elspeth-3f062fca72,elspeth-4ae8e1e760,5,P1
src/elspeth/core/landscape/schema.py,elspeth-3f062fca72,elspeth-3cf733a7a8,5,P1
src/elspeth/core/landscape/write_repository.py,elspeth-3f062fca72,elspeth-4e6c9c88c7,5,P1
